top - 21:38:13 up 2 days, 22:58,  1 user,  load average: 3.45, 14.30, 17.32
Tasks: 1175 total,   1 running, 1174 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.2 us,  0.6 sy,  0.0 ni, 99.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 511582.2 total, 507940.4 free,   1417.2 used,   2224.5 buff/cache
MiB Swap:   8192.0 total,   8192.0 free,      0.0 used. 507362.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    166 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    168 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/26
    169 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    170 root      rt   0       0      0      0 S   0.0   0.0   0:03.27 migrati+
    171 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    172 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    174 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/27
    175 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    176 root      rt   0       0      0      0 S   0.0   0.0   0:03.28 migrati+
    177 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    178 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    180 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/28
    181 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    182 root      rt   0       0      0      0 S   0.0   0.0   0:03.29 migrati+
    183 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/29
    187 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    188 root      rt   0       0      0      0 S   0.0   0.0   0:03.30 migrati+
    189 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    190 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/30
    193 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    194 root      rt   0       0      0      0 S   0.0   0.0   0:03.34 migrati+
    195 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
    196 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/31
    199 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    200 root      rt   0       0      0      0 S   0.0   0.0   0:03.31 migrati+
    201 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    202 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
